uid	|	parent_uid	|	name	|	rank	|	sourceinfo	|	uniqname	|	flags	|	
368219	|	736027	|	Eustrongylides sp. 38 XF-2009	|	species	|	ncbi:756537	|	Eustrongylides sp. 38 XF-2009 (ncbi:756537)	|		|	
368218	|	736027	|	Eustrongylides sp. 37 XF-2009	|	species	|	ncbi:756536	|	Eustrongylides sp. 37 XF-2009 (ncbi:756536)	|		|	
368217	|	736027	|	Eustrongylides sp. 36 XF-2009	|	species	|	ncbi:756535	|	Eustrongylides sp. 36 XF-2009 (ncbi:756535)	|		|	
368216	|	736027	|	Eustrongylides sp. 35 XF-2009	|	species	|	ncbi:756534	|	Eustrongylides sp. 35 XF-2009 (ncbi:756534)	|		|	
43271	|	736027	|	Eustrongylides sp. 77 XF-2009	|	species	|	ncbi:756580	|	Eustrongylides sp. 77 XF-2009 (ncbi:756580)	|		|	
43266	|	736027	|	Eustrongylides sp. 78 XF-2009	|	species	|	ncbi:756581	|	Eustrongylides sp. 78 XF-2009 (ncbi:756581)	|		|	
3590216	|	736027	|	Eustrongylides mergorum	|	species	|	gbif:4554235	|		|		|	
3590217	|	736027	|	Eustrongylides tubifex	|	species	|	gbif:4554238	|		|		|	
3590218	|	736027	|	Eustrongylides excisus	|	species	|	gbif:4554237	|		|		|	
521936	|	736073	|	Dioctophyme	|	genus	|	ncbi:513042	|		|		|	
521937	|	521936	|	Dioctophyme renale	|	species	|	ncbi:513045	|		|		|	
3590219	|	736073	|	Dioctophyma	|	genus	|	gbif:4281855	|		|		|	
3590224	|	3590219	|	Dioctophyma renale	|	species	|	gbif:4350610	|		|		|	
3590226	|	736073	|	Eustrongyloides	|	genus	|	gbif:4630971	|		|	barren	|	
3590230	|	736073	|	Dictophyme	|	genus	|	gbif:4630967	|		|	barren	|	
3590221	|	736073	|	Hystrichis	|	genus	|	gbif:4281856	|		|		|	
3590223	|	3590221	|	Hystrichis tricolor	|	species	|	gbif:4554245	|		|		|	
3590220	|	3590221	|	Hystrichis coronatus	|	species	|	gbif:4554246	|		|		|	
3590227	|	3590221	|	Hystrichis neglectus	|	species	|	gbif:4554240	|		|		|	
3590228	|	3590221	|	Hystrichis variospinosus	|	species	|	gbif:4554241	|		|		|	
3590225	|	3590221	|	Hystrichis cygni	|	species	|	gbif:4554242	|		|		|	
3590222	|	736073	|	Dioctophryme	|	genus	|	gbif:4630970	|		|	barren	|	
3590229	|	736073	|	Dyctophymus	|	genus	|	gbif:4630969	|		|	barren	|	
969471	|	117565	|	Muspiceida	|	order	|	ncbi:1150982	|		|	sibling_lower	|	
969470	|	969471	|	Muspiceidae	|	family	|	ncbi:1150983,gbif:4281968	|		|		|	
834587	|	969470	|	Riouxgolvania	|	genus	|	ncbi:1150984	|		|		|	
834514	|	834587	|	Riouxgolvania sp. HK00292	|	species	|	ncbi:1150985	|	Riouxgolvania sp. HK00292 (ncbi:1150985)	|		|	
